semester_id,student_id,sem,sem_earned,sem_points,semester_attempted,sem_gpa,program_grade_date
838,,2000-2,3,10.5,3,2.9,
839,,2002-2,3,9,3,3.19,
840,,2003-1,0,0,3,3.13,
841,,2003-2,3,10.5,3,3.9,
842,,2000-2,3,9,3,2.9,
843,,2000-3,3,9,3,3,
844,,2003-1,3,11.25,3,3.3,
845,,2004-1,3,10.5,3,3.45,
846,,2003-2,3,12,3,3.69,
847,,2004-1,3,11.25,3,3.45,
848,,2003-1,3,9,3,3.3,
849,,2003-1,3,7.5,3,3.3,
850,,2003-2,3,12,3,3.69,
851,,2003-2,3,9,3,3.69,
852,,2003-1,3,11.25,3,3.3,
853,,2004-1,3,9,3,3.45,
854,,2003-1,3,10.5,3,3.3,
855,,2004-1,3,9,3,3.45,
856,,2004-2,12,48,12,4,
857,,2003-2,3,11.25,3,3.69,
858,,2004-1,3,12,3,3.45,
859,,2004-2,3,0,3,0,
860,,2011-1,3,6,3,3.25,
861,,2011-1,3,11.25,3,3.25,
862,,2011-1,3,12,3,3.25,
863,,2011-2,3,10.5,3,3,
864,,2011-2,3,6,3,3,
865,,2012-1,12,45,12,3.6,
866,,2004-2,3,0,3,0,
867,,2004-2,,,3,0,
868,,2004-2,3,0,3,0,
869,,2004-2,3,0,3,0,
870,,2011-1,3,3,3,3.25,
871,,2011-2,3,10.5,3,3,
872,,2011-2,3,9,3,3,
873,,2012-1,3,9,3,3.6,
874,,2011-3,3,10.5,3,3.5,
875,,2004-1,3,7.5,3,2.83,
876,,2004-1,3,7.5,3,2.83,
877,,2004-2,3,0,3,1.5,
878,,2004-2,3,7.5,3,1.5,
879,,2004-2,3,6,3,1.5,
880,,2004-1,3,0,3,2.83,
881,,2004-1,0,,3,2.83,
882,,2005-1,3,4.5,3,0.75,
883,,2004-1,3,10.5,3,2.83,
884,,2005-1,3,0,3,0.75,
885,,2005-1,3,0,3,0.75,
886,,2001-1,3,7.5,3,2.5,
887,,2001-2,3,7.5,3,3,
888,,2001-1,3,9,3,2.5,
889,,2003-2,3,6,3,2.25,
890,,2001-1,3,6,3,2.5,
891,,2003-1,3,0,3,0,
892,,2003-2,3,7.5,3,2.25,
893,,2001-2,3,9,3,3,
894,,2001-2,3,10.5,3,3,
895,,2002-1,3,7.5,3,2.5,
896,,2002-2,12,48,12,4,
897,,2001-1,3,9,3,2.5,
898,,2001-1,3,6,3,2.5,
899,,2001-2,3,9,3,3,
900,,2002-1,3,7.5,3,2.5,
901,,2002-1,3,9,3,2.5,
902,,2002-1,3,6,3,2.5,
903,,2004-1,3,12,3,4,
904,,2001-1,3,9,3,3.1,
905,,2001-2,3,12,3,3.54,
906,,2002-2,12,48,12,4,
907,,2001-2,3,12,3,3.54,
908,,2001-2,3,10.5,3,3.54,
909,,2001-2,3,11.25,3,3.54,
910,,2001-1,3,10.5,3,3.1,
911,,2002-1,3,7.5,3,3.25,
912,,2002-1,3,10.5,3,3.25,
913,,2001-1,3,7.5,3,3.1,
914,,2001-1,3,9,3,3.1,
915,,2001-2,3,9,3,3.54,
916,,2002-1,3,9,3,3.25,
917,,2001-1,3,10.5,3,3.1,
918,,2001-2,3,9,3,3.54,
919,,2002-1,3,10.5,3,3.25,
920,,2002-1,3,11.25,3,3.25,
921,,2004-2,3,11.25,3,2.88,
922,,2004-2,3,6,3,2.88,
923,,2005-2,3,11.25,3,3.71,
924,,2005-2,3,10.5,3,3.71,
925,,2006-1,3,7.5,3,3.38,
926,,2006-2,12,48,12,3.9,
927,,2005-2,3,10.5,3,3.71,
928,,2005-2,3,10.5,3,3.71,
929,,2006-1,3,12,3,3.38,
930,,2005-1,3,12,3,3.5,
931,,2005-2,3,11.25,3,3.71,
932,,2005-2,3,12,3,3.71,
933,,2005-2,3,12,3,3.71,
934,,2006-1,3,11.25,3,3.38,
935,,2006-1,3,9,3,3.38,
936,,2006-1,3,10.5,3,3.38,
937,,2005-1,3,10.5,3,3.5,
938,,2005-1,3,7.5,3,3.5,
939,,2005-1,3,11.25,3,3.5,
940,,2005-1,3,10.5,3,3.5,
941,,2005-1,3,11.25,3,3.5,
942,,2006-1,3,10.5,3,3.38,
943,,2006-2,3,10.5,3,3.9,
944,,2007-1,3,11.25,3,3.63,
945,,2008-2,3,6,3,2.88,
946,,2013-2,3,12,3,3.38,
947,,2013-3,3,7.5,3,2.5,
948,,2014-1,3,9,3,2.6,
949,,2010-2,3,11.25,3,3.38,
950,,2012-1,3,9,3,2.75,
951,,2013-1,3,3,3,3.17,
952,,2013-2,3,6,3,3.38,
953,,2013-2,3,11.25,3,3.38,
954,,2014-2,12,45,12,3.75,
955,,2014-3,3,11.25,3,3.75,
956,,2008-2,3,11.25,3,2.88,
957,,2012-1,3,10.5,3,2.75,
958,,2012-2,3,11.25,3,3.75,
959,,2014-3,3,11.25,3,3.75,
960,,2011-1,3,7.5,3,2.5,
961,,2012-1,3,6,3,2.75,
962,,2013-1,3,6,3,3.17,
